SIGLA,CEP,CIDADE,CNPJ,COD OBRA,ENDEREÇO,FONE,INSCR. ESTAD,KM IDA E VOLTA,L.,Ordens de Serviço,PEDÁGIO IDA E VOLTA,UF
223 - MGGALM - Mogi Guaçu,13.847-040,Mogi Guaçu,56.642.960/0225-02,329492,"Av. dos Trabalhadores, 3.550 – Jardim Almira",(019) 3861-1871,455.140.155.114,,223,,,"SP "
059 - ITAPSE - Itapecerica Serra,06.850-001,Itapecerica Serra,56.642.960/0061-40,20681,"Rua: Major Telles, 122 - Centro",(011) 4666-6755,370.046.191.113,,59,,,"SP "
275 - HOLAMB - Holambra,13.825-000,Holambra,56.642.960/0276-52,746985,"Rua Rota dos Imigrantes, 249 – Centro",(019) 3802-1178,747.022.674.111,140,275,HOLAMBRA (https://www.notion.so/2033df85ea4649fb85189c20ac265a46?pvs=21),"R$ 55,80","SP "
221 - BROTAS - Brotas,17.380-000,Brotas,56.642.960/0223-40,278106,"Av. Rodolpho Guimarães, 244 – Centro",(014) 3653-8684,228.023.790.110,,221,,,"SP "
049 - COTIA - Cotia,06.717-210,Cotia,56.642.960/0052-50,133610,"Av.: N. Senhora de Fátima, 100 – Vila Monte Serrat",(011) 4616-9638,278.051.360.112,400,49,COTIA CT (https://www.notion.so/025b15fcf0a146f98388885c18c43b08?pvs=21),"R$ 93,40","SP "
078 - HORTO - Hortolândia,13.184-260,Hortolândia,56.642.960/0083-56,20687,"Rua: Luiz Camilo de Camargo, 475 - Centro",(019) 3897-5756,748.024.402.113,,78,,,"SP "
241 - ABRASI - Américo Brasiliense,14.820-000,Américo Brasiliense,56.642.960/0243-94,430517,"Av. Joaquim Afonso da Costa, 89 – Bela Vista",(016) 3396-8916,166.033.200.115,,241,,,"SP "
296 - Porto Real - Porto Real,27.570-000,Porto Real,56.642.960/0300-17,794052,"Avenida Dom Pedro II, 1182 - Centro",,12.495.048,,296,,,RJ
063 - ITAQUA - Itaquaquecetuba,08.570-002,Itaquaquecetuba,56.642.960/0066-55,133647,"Av.: Emancipação, 75 - Centro",(011) 4640-3403,379.053.526.111,,63,,,"SP "
235 - JBONIF - José Bonifácio,15.200-000,José Bonifácio,56.642.960/0237-46,465200,"Praça Marechal Deodoro Fonseca, 187 – Centro",(017) 3245-5203,405.047.170.112,570,235,JOSÉ BONIFACIO (https://www.notion.so/055238e7e9824e05a605469646ab2e28?pvs=21),"R$ 149,80","SP "
024 - SJCAMP - São José dos Campos,12.210-090,São José dos Campos,56.642.960/0028-20,88532,"Praça Afonso Pena, 131 - Centro",(012) 3922-5822,645.107.830.114,,24,,,"SP "
037 - VARGIN - Varginha,37.002-080,Varginha,56.642.960/0040-16,88039,"Rua: Wenceslau Braz, 129 - Centro",(035) 3222-9222,707.649.701.0220,650,37,VARGINHA (https://www.notion.so/db1858c2e9b54d4f98d7c83f5af9fdc2?pvs=21),"R$ 101,40",MG
265 - LONDSA - Londrina,86.084-000,Londrina,56.642.960/0263-38,513696,"Av. Saul Elkind, 1650 – Jardim Santa Cruz",(043) 3356-1122,90.794.879-00,,265,,,PR
119 - ITABOR - Itaboraí,24.800-000,Itaboraí,56.642.960/0120-35,103479,"Av.: 22 de Maio, 5381 - Centro",(021) 2635-3320,77.374.795,,119,,,RJ
227 - DOISCO - Dois Córregos,17.300-000,Dois Córregos,56.642.960/0229-36,402953,"Praça Arthur de Carvalho, 189 – Centro",(014) 3652-1757,289.029.431.118,,227,,,"SP "
103 - ITAGUA - Itaguaí,23.815-290,Itaguaí,56.642.960/0105-04,103270,"Rua: Dr. Curvelo CavalcantI, 500 - Centro",(021)  2688-9000,76.208.751,,103,,,RJ
029 - CAÇAP - Caçapava,12.281-010,Caçapava,56.642.960/0032-06,20685,"Av.: Cel. M. Inocêncio, 457 - Centro",(012) 3653-1826,234.021.340.118,,29,,,"SP "
172 - LARANP - Laranjal Paulista,18.500-000,Laranjal Paulista,56.642.960/0171-85,129815,"Rua Dr. Oscar Vieira Sampaio, 123 - Centro",(015) 3283-2809,412.085.862.114,,172,,,"SP "
216 - SGERT - Santa Gertrudes,13.510-000,Santa Gertrudes,56.642.960/0218-83,359052,"Avenida 01, 400 – Centro",(019) 3545-2872,615.016.000.114,,216,,,"SP "
300 - SJRPMI - São Jose do Rio Preto,15.043-501,São Jose do Rio Preto,56.642.960/0304-40,790190,"Av. Mirassolandia,1717 - Solo Sagrado  - Mini Dist.Ind",,124.391.942.119,550,300,SÃO JOSE RIO PRETO BR (https://www.notion.so/d55a9cffd6f34008a6339587eae7137d?pvs=21),"R$ 131,00","SP "
282 - BASSIT - Bady Bassit,15.115-000,Bady Bassit,56.642.960/0284-62,695828,"Praça Rio Preto, 160 - Centro",(017)3258-2858,195.037.938.118,,282,,,"SP "
177 - GUARIB - Guariba,14.840-000,Guariba,56.642.960/0177-70,128561,"Rua Sampaio Vidal, 445 - Centro",(016) 3251-2221,334.078.120.111,,177,,,"SP "
